index,Dataset,ID,Condition,Start,transition_entropy,stationary_entropy,event_agg,Condition_hand,NA
19160,big,385,F,690,1.0085138403782723,1.5196609032586168,0.0,35,False
19161,big,385,F,700,0.7623442300286192,1.7566725925027662,0.0,35,False
19162,big,385,F,710,0.752850223400033,1.80865310046268,1.0,35,False
19163,big,385,F,720,0.5937046831986759,1.2866056417631042,1.0,35,False
19164,big,385,F,730,0.2732827035578869,1.2402970413549437,1.0,35,False
19165,big,385,F,740,0.0,0.8362568030855222,0.0,35,False
19166,big,385,F,750,0.0,0.690062385995978,0.0,35,False
19167,big,385,F,760,0.0,0.6021260248956335,0.0,35,False
19168,big,385,F,770,0.0,0.6870659527933838,0.0,35,False
19169,big,385,F,780,0.2024443343287152,1.080375738237946,0.0,35,False
19170,big,385,F,790,0.3662411099737633,1.4440798788273974,0.0,35,False
19171,big,385,F,800,0.4307186199846251,1.5424703261782555,0.0,35,False
19172,big,385,F,810,0.6789445059885817,1.707773378249149,0.0,35,False
19178,big,386,F,50,0.576668666923991,1.141989504050551,1.0,35,False
19179,big,386,F,60,0.5384719961741706,1.0272962704549908,1.0,35,False
19180,big,386,F,70,0.498642676232953,1.0271391252240427,1.0,35,False
19181,big,386,F,80,0.520371248112099,1.1871240342642213,1.0,35,False
19182,big,386,F,90,0.3298684792536817,1.312048302896604,1.0,35,False
19183,big,386,F,100,0.5929952451185609,1.9532267725917445,1.0,35,False
19184,big,386,F,110,0.5118831889319897,1.1728167254081243,1.0,35,False
19185,big,386,F,120,0.5556586437813531,1.326115149702946,1.0,35,False
19186,big,386,F,130,0.4931578473064493,1.2230516960391498,0.0,35,False
19187,big,386,F,140,0.2413621444031879,1.196547395583681,0.0,35,False
19188,big,386,F,150,0.1687766918335438,0.9492284754593344,0.0,35,False
19189,big,386,F,160,0.1333195705578289,0.77668207647917,0.0,35,False
19190,big,386,F,170,0.5757479836122703,0.9909455855640988,0.0,35,False
19191,big,386,F,180,0.1784028767255517,0.7707848767296815,0.0,35,False
19192,big,386,F,190,0.6479200529354505,1.0188015893395794,1.0,35,False
19193,big,386,F,200,0.7730494745065228,1.193949657452963,1.0,35,False
19194,big,386,F,210,0.7104517426427732,1.1488596880711164,1.0,35,False
19195,big,386,F,220,0.6891579475729999,1.1302352793733963,0.0,35,False
19196,big,386,F,230,0.8027857533301967,1.004013793226141,0.0,35,False
19197,big,386,F,240,0.7594470663025148,1.0911839503815073,0.0,35,False
19198,big,386,F,250,0.901630926270758,1.0802500566807365,0.0,35,False
19199,big,386,F,260,0.7750962868446165,1.1184884230366765,1.0,35,False
19201,big,386,F,280,0.782450653456174,0.8434373496393515,1.0,35,False
19203,big,386,F,300,0.731725685449064,1.0628387051065378,0.0,35,False
19204,big,386,F,310,0.938606983329868,1.031964744066311,0.0,35,False
19205,big,386,F,320,0.6802050349764035,0.6254922134676477,0.0,35,False
19206,big,386,F,330,0.4355556419161388,0.7286696534029546,0.0,35,False
19207,big,386,F,340,0.1763366050341999,0.7637003993926057,0.0,35,False
19208,big,386,F,350,0.153606641543941,0.7925889524992924,1.0,35,False
19209,big,386,F,360,0.3824309591297147,0.8535567615332718,1.0,35,False
19210,big,386,F,370,0.2410778304601183,0.8088278851568192,0.0,35,False
19211,big,386,F,380,0.2125133276880792,0.7664642786635611,1.0,35,False
19212,big,386,F,390,0.3971834413863798,0.9475996069901618,1.0,35,False
19213,big,386,F,400,0.5989447190126471,1.1153801188281645,0.0,35,False
19214,big,386,F,410,0.4696739946664986,1.36508627532664,1.0,35,False
19215,big,386,F,420,0.0,0.4837907777203553,1.0,35,False
19216,big,386,F,450,0.0,0.6113596265680887,0.0,35,False
19217,big,386,F,460,0.2655723865539539,0.9987323691838104,0.0,35,False
19218,big,386,F,470,0.2385324046939293,1.0175268108690991,0.0,35,False
19219,big,386,F,480,0.0,0.6920535499037999,0.0,35,False
19220,big,386,F,490,0.0,0.6637254974722399,0.0,35,False
19221,big,386,F,500,0.0,0.5712992677707143,0.0,35,False
19222,big,386,F,510,0.0,0.6858913803792253,0.0,35,False
19223,big,386,F,520,0.7500341549745896,0.7382339580686569,0.0,35,False
19224,big,386,F,530,0.6555358820120321,0.7632427906267498,0.0,35,False
19225,big,386,F,540,0.7031904530670652,0.937380597551567,0.0,35,False
19226,big,386,F,550,0.5586993195836916,1.1584814336969438,1.0,35,False
19227,big,386,F,560,0.170025868324898,1.0033383375375156,1.0,35,False
19228,big,386,F,570,0.6346621849896917,1.0295971598671103,1.0,35,False
19229,big,386,F,580,0.6136357761690975,0.8570048165378998,1.0,35,False
19230,big,386,F,590,0.6101963009748861,0.6913959343138334,0.0,35,False
